Sr. No.,Angle,Width,Length,Strength ABS,Stiffness ABS,SEA ABS,Strength PLA,Stiffness PLA,SEA PLA
1,40,10,6,5.11,61.4,128.965,6.642,18.1,39.007
2,40,6,4,2.84,31.3,12.672,21.6,27.2,133.272
3,40,6,6,5.999,59.3,65.428,6.748,69.1,92.143
4,40,10,4,5.01,25.4,84.699,7.755,25.1,76.48
5,10,10,4,7.687,21.3,102.76,4.679,48.2,48.782
6,10,6,4,1.728,24.2,58.251,15.87,21.7,414.568
7,10,10,6,5.062,59.3,134.73,2.127,59.1,68.74
8,10,6,6,8.432,59.1,92.61,5.858,70.2,48.75
9,10,6,6,8.08,60.2,88.95,6.129,80.1,54.73
10,40,6,6,5.968,61.3,60.53,8.577,59.2,83.79
11,40,6,4,3.128,28.9,10.76,18.57,23.1,121.94
12,40,10,6,4.57,58.9,132.662,5.478,15.1,43.176
13,40,10,4,5.44,24.1,80.4,6.111,34.3,88.901
14,10,10,4,7.19,24.2,101.593,6.066,39.8,55.326
15,10,6,4,1.893,25.1,56.87,17.695,26.2,395.78
16,10,10,6,4.931,61.3,137.4,2.98,69.4,79.24
